RAW_WORD,NORMALIZED_WORD,MEANING_INDONESIAN,WORD_TYPE,IS_KRAMA
abab,ABAB,"hawa mulut, hawa yang keluar dari mulut",Kata Benda,
aban,ABAN,suara,Kata Benda,
aban-aban,ABAN-ABAN,"rumor, desas-desus, isu, kabar",Kata Benda,
abang,ABANG,merah,Kata Sifat,
abar,ABAR,menguap (zat cair),Kata Kerja,
abdi,ABDI,pembantu,Kata Benda,
ables,ABLES,melesak,Kata Kerja,
aboh,ABOH,bengkak / mélépuh,Kata Sifat,
abot,ABOT,berat,Kata Sifat,
abrit,ABRIT,merah,Kata Sifat,Krama
abuh,ABUH,bengkak,Kata Sifat,
abyor,ABYOR,bertebaran memenuhi (mis. bintang bertebaran memenuhi langit),Kata Sifat,
acung,ACUNG,menunjuk ke atas/unjuk jari,Kata Kerja,
ada-ada,ADA-ADA,inisiatif,Kata Benda,
adang,ADANG,"menanak nasi, menanak dengan menggunakan dandang",Kata Kerja,
adas,ADAS,nama tanaman,Kata Benda,
adhang,ADHANG,menunggu di tempat yang akan dilewati,Kata Kerja,
ngadhang,NGADHANG,menghadang,Kata Kerja,
adhem,ADHEM,dingin,Kata Sifat,
adhep,ADHEP,hadap,Kata Kerja,
ngadhep,NGADHEP,menghadap,Kata Kerja,
adhi,ADHI,adik,Kata Benda,
adi,ADI,bernilai tinggi; mempunyai kelebihan,Kata Sifat,
adoh,ADOH,jauh,Kata Keadaan,
adol,ADOL,jual,Kata Keadaan,
ngedol,NGEDOL,menjual,Kata Kerja,
dodolan,DODOLAN,berjualan,Kata Kerja,
adreng,ADRENG,"bernafsu, antusias",Kata Sifat,
adu-adu,ADU-ADU,mengadu domba,Kata Kerja,
adu,ADU,"adu, dipertarungkan",Kata Kerja,
adus,ADUS,mandi,Kata Kerja,
agama,AGAMA,besar; agung,Kata Benda,
agem,AGEM,pakai,Kata Kerja,
ageman,AGEMAN,pakaian,Kata Benda,
ageng,AGENG,besar,Kata Sifat,Krama
agni,AGNI,api,Kata Benda,
agul-agul,AGUL-AGUL,andalan; jagoan,Kata Benda,
agung,AGUNG,api,Kata Benda,
agèk,AGEK,"sedang, lagi",Kata Keadaan,
aja,AJA,jangan,Kata Seru,
ajag,AJAG,"sejenis anjing hutan/anjing liar, srigala",Kata Benda,
ajang,AJANG,"wadah, tempat makan (piring)",Kata Benda,
ajeg,AJEG,tetap,Kata Keadaan,
ajeng,AJENG,akan,Kata Keterangan,Krama
aji,AJI,"nilai; harga, berharga",Kata Benda,
ngajeni,NGAJENI,"menghormati, menghargai",Kata Kerja,
ajur,AJUR,hancur,Kata Sifat,
akas,AKAS,alon,Kata Keadaan,
akas,AKAS,"perai, keras (untuk nasi)",Kata Sifat,
akas,AKAS,"kasar (untuk butiran), gesit",Kata Sifat,
akil,AKIL,dewasa,Kata Sifat,
aking,AKING,"kering, kurus",Kata Sifat,
akon,AKON,suruh,Kata Kerja,
akèh,AKEH,banyak,Kata Sifat,
ala,ALA,buruk,Kata Sifat,
alang-alang,ALANG-ALANG,ilalang,Kata Benda,
alangan,ALANGAN,halangan,Kata Benda,
alas,ALAS,hutan,Kata Benda,
alem,ALEM,"puji, pujian",Kata Kerja,
aleman,ALEMAN,manja,Kata Sifat,
alesan,ALESAN,alasan,Kata Benda,
ali-ali,ALI-ALI,cincin,Kata Benda,
aling,ALING,halang,Kata Kerja,
aling-aling,ALING-ALING,bersembunyi di balik,Kata Kerja,
alit,ALIT,kecil,Kata Sifat,Krama
alok,ALOK,berkata,Kata Kerja,
alon,ALON,pelan,Kata Sifat,
alot,ALOT,kenyal susah di potong,Kata Sifat,
alu,ALU,antan,Kata Benda,
alum,ALUM,layu,Kata Sifat,
alun-alun,ALUN-ALUN,"lapangan di tengah kota, alun-alun",Kata Benda,
alus,ALUS,halus,Kata Sifat,
aluwung,ALUWUNG,lebih baik,Kata Keterangan,
ama,AMA,hama,Kata Benda,
amarga,AMARGA,karena,Kata Sambung,
amargi,AMARGI,karena,Kata Sambung,
amba,AMBA,lebar/luas,Kata Sifat,
ambah,AMBAH,"jejak, jelajah, datangi",Kata Kerja,
ambal,AMBAL,ulang,Kata Kerja,
ambar,AMBAR,tersebar (untuk bau harum),Kata Kerja,
ambyar,AMBYAR,buyar,Kata Kerja,
ambeg,AMBEG,berwatak,Kata Sifat,
ambegan,AMBEGAN,bernafas,Kata Kerja,
amburat,AMBURAT,bersinar,Kata Kerja,Krama
ambet,AMBET,bau,Kata Benda,Krama
amblas,AMBLAS,"lenyap seketika, habis tak tersisa",Kata Sifat,
ambleg,AMBLEG,"roboh, runtuh",Kata Sifat,
ambles,AMBLES,"turun dan menjadi tidak nampak, tenggelam",Kata Kerja,
ambrol,AMBROL,runtuh,Kata Kerja,
ambruk,AMBRUK,"tumbang, roboh",Kata Kerja,
ambu,AMBU,bau,Kata Benda,
ambung,AMBUNG,cium,Kata Kerja,
ambus,AMBUS,endus,Kata Kerja,
ambyuk,AMBYUK,menjatuhkan diri,Kata Kerja,
ambyur,AMBYUR,mencemplungkan diri ke dalam air,Kata Kerja,
ambèn,AMBEN,ranjang,Kata Benda,
ambèr,AMBER,meluap (air),Kata Keadaan,
ambèr-ambèr,AMBER-AMBER,melimpah,Kata Sifat,
amem,AMEM,melempem,Kata Sifat,
amem,AMEM,sunyi,Kata Sifat,
amis,AMIS,anyir,Kata Sifat,
amit,AMIT,permisi,Kata Kerja,
amor,AMOR,kumpul,Kata Kerja,
amot,AMOT,muat,Kata Kerja,
ngemot,NGEMOT,"memuat, mengandung",Kata Kerja,
ampak-ampak,AMPAK-AMPAK,kepulan debu,Kata Benda,
ampek,AMPEK,"sulit bernafas, sesak (untuk dada), bengek",Kata Keadaan,
ampil,AMPIL,pinjam,Kata Kerja,
amping-amping,AMPING-AMPING,berlindung di balik sesuatu,Kata Kerja,
ampo,AMPO,nama jajanan terbuat dari tanah jenis tertentu,Kata Benda,
ampung,AMPUNG,tumpang,Kata Kerja,
ngampung,NGAMPUNG,menumpang,Kata Kerja,
amrih,AMRIH,"agar, supaya",Kata Sambung,
amung,AMUNG,hanya,Kata Keterangan,
namung,NAMUNG,hanya,Kata Keterangan,Krama
amèk,AMEK,mencari,Kata Kerja,
ana,ANA,"ada, terdapat",Kata Kerja,
anane,ANANE,adanya,Kata Keterangan,
nganak-nganaké,NGANAK-NGANAKE,berusaha dengan keras agar ada,Kata Kerja,
